timestamp,Frequency (Hz),SFU Power (dBm),SFU SNR (dB),FSW_SNR(dB),AIM Power,AIM SNR,AIM Offset,AIM Demod Lock,AIM Demod Acq Time
2016-12-22T15:51:15.948771,1630000000,-20,12,12.054622650200002,-32.523673469387745,11.866326530612241,113535.0,True,0.0
2016-12-22T15:51:25.285305,1630000000,-20,13,13.1152763367,-32.533599999999986,12.965200000000006,113535.0,True,0.0
2016-12-22T15:51:34.597838,1630000000,-20,14,14.062889099099998,-32.569999999999986,13.889199999999999,113530.4,True,0.0
2016-12-22T15:51:43.881369,1630000000,-20,15,15.113162994299998,-32.6112,14.920400000000004,113535.0,True,0.0
2016-12-22T15:51:53.204902,1630000000,-20,16,16.0909767151,-32.6388,15.845599999999997,113535.0,True,0.0
2016-12-22T15:52:02.517435,1630000000,-20,17,17.179443359299995,-32.655918367346956,16.584489795918365,113530.30612244898,True,0.0
2016-12-22T15:52:11.774964,1630000000,-20,18,18.183605194100004,-32.65200000000003,18.109999999999996,113535.0,True,0.0
2016-12-22T15:52:21.099498,1630000000,-20,19,19.212524414,-32.67680000000003,18.964800000000004,113530.4,True,0.0
2016-12-22T15:52:30.406030,1630000000,-20,20,20.218151092599996,-32.68440000000002,19.983200000000004,113535.0,True,0.0
2016-12-22T15:52:39.776566,1650000000,-20,8,8.0362968445,-32.05999999999998,7.912400000000003,130272.44,True,0.0
2016-12-22T15:52:48.973092,1650000000,-20,9,9.0325698853,-32.20640000000003,8.923999999999992,130277.0,True,0.0
2016-12-22T15:52:58.035610,1650000000,-20,10,10.016780853299998,-32.29265306122448,9.942448979591838,130277.0,True,0.0
2016-12-22T15:53:07.177133,1650000000,-20,11,11.0382957458,-32.457600000000006,10.968399999999999,130272.44,True,0.0
2016-12-22T15:53:16.304655,1650000000,-20,12,12.065742492600002,-32.483200000000025,11.932800000000002,130277.0,True,0.0
2016-12-22T15:53:25.618188,1650000000,-20,13,13.1009597778,-32.538799999999995,12.886,130277.0,True,0.0
2016-12-22T15:53:34.790713,1650000000,-20,14,14.083072662299998,-32.55759999999998,13.822800000000008,130272.44,True,0.0
2016-12-22T15:53:44.124247,1650000000,-20,15,15.078071594200004,-32.59959183673468,14.702857142857138,130272.3469387755,True,0.0
2016-12-22T15:53:53.395777,1650000000,-20,16,16.081851959299996,-32.62599999999997,15.749599999999996,130277.0,True,0.0
2016-12-22T15:54:02.737311,1650000000,-20,17,17.199298858600002,-32.629591836734676,16.75040816326531,130277.0,True,0.0
2016-12-22T15:54:12.025842,1650000000,-20,18,18.203163147000005,-32.64632653061225,17.602653061224487,130277.0,True,0.0
2016-12-22T15:54:21.381378,1650000000,-20,19,19.206111907900002,-32.67920000000001,18.76,130272.44,True,0.0
2016-12-22T15:54:30.679909,1650000000,-20,20,20.228485107400004,-32.663600000000024,19.5952,130272.44,True,0.0
2016-12-22T15:54:40.026444,1670000000,-20,8,8.0469894409,-32.57204081632651,7.970408163265304,126532.3469387755,True,0.0
2016-12-22T15:54:49.125964,1670000000,-20,9,9.076633453300005,-32.70040816326534,8.938367346938776,126537.0,True,0.0
2016-12-22T15:54:58.213484,1670000000,-20,10,10.056030273400005,-32.774799999999985,9.843599999999999,126532.44,True,0.0
2016-12-22T15:55:07.328006,1670000000,-20,11,11.051387786900001,-32.832040816326504,10.84081632653061,126532.3469387755,True,0.0
2016-12-22T15:55:16.411525,1670000000,-20,12,12.077922821000001,-32.9924,11.869600000000013,126537.0,True,0.0
2016-12-22T15:55:25.734058,1670000000,-20,13,13.1171607972,-33.019795918367336,12.883265306122448,126532.3469387755,True,0.0
2016-12-22T15:55:35.063592,1670000000,-20,14,14.097869873,-33.05346938775507,13.870612244897949,126532.3469387755,True,0.0
2016-12-22T15:55:44.345123,1670000000,-20,15,15.092617034900002,-33.071836734693846,14.914897959183673,126690.0,True,0.0
2016-12-22T15:55:53.687657,1670000000,-20,16,16.094936370899994,-33.10199999999996,15.814800000000007,126690.0,True,0.0
2016-12-22T15:56:02.988189,1670000000,-20,17,17.2276306153,-33.149200000000036,16.876800000000003,126537.0,True,0.0
2016-12-22T15:56:12.303722,1670000000,-20,18,18.235244751000003,-33.13559999999998,18.106800000000003,126690.0,True,0.0
2016-12-22T15:56:21.631255,1670000000,-20,19,19.235622406000005,-33.14571428571431,18.73612244897959,126537.0,True,0.0
2016-12-22T15:56:30.935788,1670000000,-20,20,20.233169555699995,-33.17387755102043,19.90204081632653,126532.3469387755,True,0.0
2016-12-22T15:56:40.390328,1690000000,-20,8,8.103683471699995,-32.55599999999997,7.902000000000003,133855.84,True,0.0
2016-12-22T15:56:49.535852,1690000000,-20,9,9.082851409900002,-32.715102040816355,8.896530612244902,133860.3469387755,True,0.0
2016-12-22T15:56:58.739378,1690000000,-20,10,10.081638336200001,-32.80795918367345,9.904285714285717,133860.3469387755,True,0.0
2016-12-22T15:57:07.854899,1690000000,-20,11,11.065574646000002,-32.84040816326529,11.112040816326534,133860.3469387755,True,0.0
2016-12-22T15:57:17.039425,1690000000,-20,12,12.091045379599997,-32.980204081632664,11.929795918367342,133865.0,True,0.0
2016-12-22T15:57:26.354957,1690000000,-20,13,13.141551971399998,-33.04489795918366,13.055510204081633,133865.0,True,0.0
2016-12-22T15:57:35.695492,1690000000,-20,14,14.149742126500001,-33.075199999999974,13.899199999999997,133865.0,True,0.0
2016-12-22T15:57:44.942021,1690000000,-20,15,15.124916076699996,-33.091428571428544,14.829591836734696,133865.0,True,0.0
2016-12-22T15:57:54.238552,1690000000,-20,16,16.120742797899993,-33.135306122448974,15.913469387755104,133865.0,True,0.0
2016-12-22T15:58:03.556085,1690000000,-20,17,17.239761352600006,-33.14448979591837,16.954693877551016,133860.3469387755,True,0.0
2016-12-22T15:58:12.925621,1690000000,-20,18,18.263122558600003,-33.15199999999999,17.712000000000007,133860.44,True,0.0
2016-12-22T15:58:22.196151,1690000000,-20,19,19.261684417700003,-33.17120000000003,18.4028,133865.0,True,0.0
2016-12-22T15:58:31.539686,1690000000,-20,20,20.279842376699996,-33.1622448979592,19.838979591836743,133865.0,True,0.0
2016-12-22T15:58:40.944224,1710000000,-20,8,8.057186126699996,-32.35122448979589,7.85428571428571,130272.3469387755,True,0.0
2016-12-22T15:58:50.334761,1710000000,-20,9,9.019073486299995,-32.5142857142857,8.947551020408163,130272.3469387755,True,0.0
2016-12-22T15:58:59.444282,1710000000,-20,10,10.051578521799996,-32.57857142857142,9.890816326530613,130272.3469387755,True,0.0
2016-12-22T15:59:08.525801,1710000000,-20,11,11.0711288452,-32.63591836734694,10.879183673469388,130277.0,True,0.0
2016-12-22T15:59:17.806332,1710000000,-20,12,12.083736419700003,-32.69760000000001,11.91119999999999,130272.44,True,0.0
2016-12-22T15:59:27.112864,1710000000,-20,13,13.099666595400002,-32.71040000000002,12.938799999999999,130272.44,True,0.0
2016-12-22T15:59:36.402396,1710000000,-20,14,14.082012176500001,-32.83919999999998,13.970800000000006,130272.44,True,0.0
2016-12-22T15:59:45.649925,1710000000,-20,15,15.106323242199998,-32.82102040816326,14.816122448979591,130277.0,True,0.0
2016-12-22T15:59:54.949457,1710000000,-20,16,16.065093994199998,-32.86714285714288,15.922244897959182,130272.3469387755,True,0.0
2016-12-22T16:00:04.250989,1710000000,-20,17,17.2260284424,-32.894897959183695,16.839591836734694,130277.0,True,0.0
2016-12-22T16:00:13.537520,1710000000,-20,18,18.2031021118,-32.92000000000001,17.707142857142856,130272.3469387755,True,0.0
2016-12-22T16:00:22.850052,1710000000,-20,19,19.213813781700004,-32.93510204081636,18.786530612244903,130277.0,True,0.0
2016-12-22T16:00:32.113582,1710000000,-20,20,20.2447967529,-32.942000000000014,19.1852,130272.44,True,0.0
2016-12-22T16:00:41.466117,1730000000,-20,8,8.033855438300002,-32.17938775510206,7.97530612244898,127728.3469387755,True,0.0
2016-12-22T16:00:50.620641,1730000000,-20,9,9.0301132202,-32.313999999999986,8.8204,127728.44,True,0.0
2016-12-22T16:00:59.767164,1730000000,-20,10,10.025066375800002,-32.36265306122446,9.915306122448984,127733.0,True,0.0
2016-12-22T16:01:09.333711,1730000000,-20,11,11.015426635700003,-32.44160000000003,10.837200000000005,127733.0,True,0.0
2016-12-22T16:01:18.411230,1730000000,-20,12,12.037391662600001,-32.58159999999999,11.8724,127733.0,True,0.0
2016-12-22T16:01:28.147787,1730000000,-20,13,13.103366851800004,-32.62239999999999,12.866800000000005,127728.44,True,0.0
2016-12-22T16:01:37.470320,1730000000,-20,14,14.083599090499995,-32.67530612244902,13.846734693877558,127728.3469387755,True,0.0
2016-12-22T16:01:46.743851,1730000000,-20,15,15.049404144299999,-32.699200000000026,14.9484,127733.0,True,0.0
2016-12-22T16:01:56.058384,1730000000,-20,16,16.063159942600002,-32.71346938775512,16.03448979591837,127733.0,True,0.0
2016-12-22T16:02:05.425919,1730000000,-20,17,17.2092895508,-32.7304,16.650800000000004,127728.44,True,0.0
2016-12-22T16:02:14.773454,1730000000,-20,18,18.208511352499997,-32.72000000000001,17.994285714285716,127733.0,True,0.0
2016-12-22T16:02:24.059985,1730000000,-20,19,19.222640991199995,-32.753265306122444,18.803061224489788,127728.3469387755,True,0.0
2016-12-22T16:02:33.414520,1730000000,-20,20,20.205493927,-32.74799999999999,19.742400000000004,127728.44,True,0.0
2016-12-22T16:02:42.816058,1750000000,-20,8,8.049079894999998,-32.2656,7.8232000000000035,124188.28,True,0.0
2016-12-22T16:02:51.914578,1750000000,-20,9,9.026618957499998,-32.36879999999997,8.9012,124135.88,True,0.0
2016-12-22T16:03:01.026100,1750000000,-20,10,10.042881011999995,-32.468800000000016,9.991999999999996,124140.44,True,0.0
2016-12-22T16:03:10.195624,1750000000,-20,11,11.0086975097,-32.51142857142857,11.10632653061225,124145.0,True,0.0
2016-12-22T16:03:19.474155,1750000000,-20,12,12.010963439899996,-32.58102040816323,11.798367346938775,124145.0,True,0.0
2016-12-22T16:03:28.599677,1750000000,-20,13,13.0430641174,-32.70551020408165,12.901632653061231,124140.3469387755,True,0.0
2016-12-22T16:03:37.878207,1750000000,-20,14,14.077140808100005,-32.750612244897965,13.999999999999998,124145.0,True,0.0
2016-12-22T16:03:47.565761,1750000000,-20,15,15.072280883800005,-32.787551020408145,14.632448979591837,124145.0,True,0.0
2016-12-22T16:03:56.897295,1750000000,-20,16,16.044422149700004,-32.78653061224488,15.952653061224488,124140.3469387755,True,0.0
2016-12-22T16:04:06.433841,1750000000,-20,17,17.175292968799994,-32.83306122448978,17.298775510204088,124145.0,True,0.0
