timestamp,Frequency (Hz),SFU Power (dBm),SFU SNR (dB),FSW_SNR(dB)
2016-12-22T15:54:21.381378,1650000000,-20,19,19.206111907900002
2016-12-22T15:54:30.679909,1650000000,-20,20,20.228485107400004
2016-12-22T15:54:40.026444,1670000000,-20,8,8.0469894409
2016-12-22T15:54:49.125964,1670000000,-20,9,9.076633453300005
2016-12-22T15:54:58.213484,1670000000,-20,10,10.056030273400005
2016-12-22T15:55:07.328006,1670000000,-20,11,11.051387786900001
2016-12-22T15:55:16.411525,1670000000,-20,12,12.077922821000001
2016-12-22T15:55:25.734058,1670000000,-20,13,13.1171607972
2016-12-22T15:55:35.063592,1670000000,-20,14,14.097869873
2016-12-22T15:55:44.345123,1670000000,-20,15,15.092617034900002
2016-12-22T15:55:53.687657,1670000000,-20,16,16.094936370899994
2016-12-22T15:56:02.988189,1670000000,-20,17,17.2276306153
2016-12-22T15:56:12.303722,1670000000,-20,18,18.235244751000003
2016-12-22T15:56:21.631255,1670000000,-20,19,19.235622406000005
2016-12-22T15:56:30.935788,1670000000,-20,20,20.233169555699995
2016-12-22T15:56:40.390328,1690000000,-20,8,8.103683471699995
2016-12-22T15:56:49.535852,1690000000,-20,9,9.082851409900002
2016-12-22T15:56:58.739378,1690000000,-20,10,10.081638336200001
2016-12-22T15:57:07.854899,1690000000,-20,11,11.065574646000002
2016-12-22T15:57:17.039425,1690000000,-20,12,12.091045379599997
2016-12-22T15:57:26.354957,1690000000,-20,13,13.141551971399998
2016-12-22T15:57:35.695492,1690000000,-20,14,14.149742126500001
2016-12-22T15:57:44.942021,1690000000,-20,15,15.124916076699996
2016-12-22T15:57:54.238552,1690000000,-20,16,16.120742797899993
2016-12-22T15:58:03.556085,1690000000,-20,17,17.239761352600006
2016-12-22T15:58:12.925621,1690000000,-20,18,18.263122558600003
2016-12-22T15:58:22.196151,1690000000,-20,19,19.261684417700003
2016-12-22T15:58:31.539686,1690000000,-20,20,20.279842376699996
2016-12-22T15:58:40.944224,1710000000,-20,8,8.057186126699996
2016-12-22T15:58:50.334761,1710000000,-20,9,9.019073486299995
2016-12-22T15:58:59.444282,1710000000,-20,10,10.051578521799996
2016-12-22T15:59:08.525801,1710000000,-20,11,11.0711288452
2016-12-22T15:59:17.806332,1710000000,-20,12,12.083736419700003
2016-12-22T15:59:27.112864,1710000000,-20,13,13.099666595400002
2016-12-22T15:59:36.402396,1710000000,-20,14,14.082012176500001
2016-12-22T15:59:45.649925,1710000000,-20,15,15.106323242199998
2016-12-22T15:59:54.949457,1710000000,-20,16,16.065093994199998
2016-12-22T16:00:04.250989,1710000000,-20,17,17.2260284424
2016-12-22T16:00:13.537520,1710000000,-20,18,18.2031021118
2016-12-22T16:00:22.850052,1710000000,-20,19,19.213813781700004
2016-12-22T16:00:32.113582,1710000000,-20,20,20.2447967529
2016-12-22T16:00:41.466117,1730000000,-20,8,8.033855438300002
2016-12-22T16:00:50.620641,1730000000,-20,9,9.0301132202
2016-12-22T16:00:59.767164,1730000000,-20,10,10.025066375800002
2016-12-22T16:01:09.333711,1730000000,-20,11,11.015426635700003
2016-12-22T16:01:18.411230,1730000000,-20,12,12.037391662600001
2016-12-22T16:01:28.147787,1730000000,-20,13,13.103366851800004
2016-12-22T16:01:37.470320,1730000000,-20,14,14.083599090499995
2016-12-22T16:01:46.743851,1730000000,-20,15,15.049404144299999
2016-12-22T16:01:56.058384,1730000000,-20,16,16.063159942600002
