NA, FW_VERSION, FW_DATE ,,,,,,,,,
HP8720ES,7.74,30-Oct-02,,,,,,,,,
DATE, TIME,,,,,,,,,,
16-Dec-16,15:30:45,,,,,,,,,,
CHAN,MEAS,FORMAT,,,,,,,,,
1,S21,LOG_MAG,,,,,,,,,
CHAN_START_FREQ,CHAN_STOP_FREQ,,,,,,,,,,
250000000,2150000000,,,,,,,,,,
POINTS, POWER, IF_BW,,,,,,,,,
201,0.00E+00,3000,,,,,,,,,
FREQUENCY,UNITS (sfu to aim),109,110,pad,sfu to aim input,sfu to FSW,,,,,
Hz,dB,,,,,,,Freq(MHz),,AIM loss (dB),FSW loss (dB)
478000000,-2.704,-16.722,-11.62,-5.81,-8.514,-16.722,,730,730000000,-8.9715,-17.259
487500000,-2.769,-16.754,-11.626,-5.813,-8.582,-16.754,,750,750000000,-8.971,-17.275
497000000,-2.776,-16.781,-11.644,-5.822,-8.598,-16.781,,990,990000000,-9.3525,-17.654
506500000,-2.778,-16.814,-11.622,-5.811,-8.589,-16.814,,1010,1010000000,-9.358,-17.707
516000000,-2.804,-16.839,-11.617,-5.8085,-8.6125,-16.839,,1030,1030000000,-9.407,-17.72
525500000,-2.8,-16.847,-11.637,-5.8185,-8.6185,-16.847,,1050,1050000000,-9.463,-17.74
535000000,-2.809,-16.876,-11.623,-5.8115,-8.6205,-16.876,,1070,1070000000,-9.419,-17.791
544500000,-2.831,-16.879,-11.614,-5.807,-8.638,-16.879,,1090,1090000000,-9.476,-17.805
554000000,-2.846,-16.909,-11.623,-5.8115,-8.6575,-16.909,,1110,1110000000,-9.496,-17.786
563500000,-2.882,-16.946,-11.637,-5.8185,-8.7005,-16.946,,1130,1130000000,-9.547,-17.863
573000000,-2.896,-16.978,-11.637,-5.8185,-8.7145,-16.978,,1150,1150000000,-9.576,-17.883
582500000,-2.899,-16.981,-11.645,-5.8225,-8.7215,-16.981,,1170,1170000000,-9.624,-17.878
592000000,-2.902,-16.982,-11.663,-5.8315,-8.7335,-16.982,,1190,1190000000,-9.603,-17.915
601500000,-2.922,-17,-11.644,-5.822,-8.744,-17,,1210,1210000000,-9.661,-17.947
611000000,-2.942,-17.024,-11.648,-5.824,-8.766,-17.024,,1230,1230000000,-9.654,-17.976
620500000,-2.957,-17.043,-11.645,-5.8225,-8.7795,-17.043,,1250,1250000000,-9.7115,-17.992
630000000,-2.971,-17.081,-11.656,-5.828,-8.799,-17.081,,1270,1270000000,-9.7255,-17.997
639500000,-2.981,-17.079,-11.651,-5.8255,-8.8065,-17.079,,1290,1290000000,-9.7725,-18.034
649000000,-2.994,-17.09,-11.661,-5.8305,-8.8245,-17.09,,1310,1310000000,-9.796,-18.062
658500000,-3.011,-17.092,-11.659,-5.8295,-8.8405,-17.092,,1330,1330000000,-9.8165,-18.061
668000000,-3.015,-17.143,-11.662,-5.831,-8.846,-17.143,,1350,1350000000,-9.826,-18.094
677500000,-3.073,-17.174,-11.669,-5.8345,-8.9075,-17.174,,1370,1370000000,-9.871,-18.131
687000000,-3.044,-17.205,-11.664,-5.832,-8.876,-17.205,,1390,1390000000,-9.917,-18.137
696500000,-3.031,-17.177,-11.649,-5.8245,-8.8555,-17.177,,1410,1410000000,-9.915,-18.17
706000000,-3.068,-17.182,-11.675,-5.8375,-8.9055,-17.182,,1430,1430000000,-9.96,-18.191
715500000,-3.099,-17.218,-11.678,-5.839,-8.938,-17.218,,1450,1450000000,-10.012,-18.213
725000000,-3.132,-17.259,-11.679,-5.8395,-8.9715,-17.259,,1470,1470000000,-10.034,-18.257
734500000,-3.115,-17.282,-11.682,-5.841,-8.956,-17.282,,1490,1490000000,-10.036,-18.233
744000000,-3.126,-17.275,-11.69,-5.845,-8.971,-17.275,,1510,1510000000,-10.0635,-18.242
753500000,-3.174,-17.331,-11.704,-5.852,-9.026,-17.331,,1530,1530000000,-10.097,-18.316
763000000,-3.171,-17.329,-11.695,-5.8475,-9.0185,-17.329,,1550,1550000000,-10.134,-18.28
772500000,-3.173,-17.317,-11.676,-5.838,-9.011,-17.317,,1570,1570000000,-10.121,-18.301
782000000,-3.221,-17.386,-11.706,-5.853,-9.074,-17.386,,1590,1590000000,-10.1705,-18.33
791500000,-3.205,-17.374,-11.687,-5.8435,-9.0485,-17.374,,1610,1610000000,-10.208,-18.352
