Frequency (Hz),Insertion Loss (dB)
887519350,-17.2750403918492
890644312.5,-17.3165801703455
893769275,-17.3300107870843
896894237.5,-17.2674046414858
900019200,-17.3328277558036
903144162.5,-17.3265967142263
906269125,-17.2774951872401
909394087.5,-17.2964895362155
912519050,-17.2751640069784
915644012.5,-17.2785126812125
918768975,-17.3439767766044
921893937.5,-17.3480043424048
925018900,-17.3394393548327
928143862.5,-17.2817431601041
931268825,-17.3232382042965
934393787.5,-17.3647456894919
937518750,-17.330375469053
940643712.5,-17.3614596739563
943768675,-17.42096466147
946893637.5,-17.4089147492387
950018600,-17.4637342779382
953143562.5,-17.4070320850403
956268525,-17.3998196347799
959393487.5,-17.4014861342103
962518450,-17.4333424601307
965643412.5,-17.3859726797352
968768375,-17.3606154871925
971893337.5,-17.389849298248
975018300,-17.448498511217
978143262.5,-17.497201201444
981268225,-17.3798134712278
984393187.5,-17.3639686132068
987518150,-17.4634342154714
990643112.5,-17.4279339977083
993768075,-17.4465106565966
996893037.5,-17.4520270997764
1000018000,-17.3907860710927
1003142962.5,-17.4530456632511
1006267925,-17.4040218858712
1009392887.5,-17.5151281640278
1012517850,-17.4850754967126
1015642812.5,-17.5300976806964
1018767775,-17.5360280751368
1021892737.5,-17.4549126130819
1025017700,-17.5172813322449
1028142662.5,-17.4973955106895
1031267625,-17.4477366385263
1034392587.5,-17.4371026752661
1037517550,-17.4544950217143
1040642512.5,-17.4114629300641
1043767475,-17.4585738029277
1046892437.5,-17.4774185894952
1050017400,-17.4508221128697
1053142362.5,-17.5545817315816
1056267325,-17.5295479481439
1059392287.5,-17.5620490081161
1062517250,-17.5838495229024
1065642212.5,-17.5551670764793
1068767175,-17.5436565698558
1071892137.5,-17.4913022082986
1075017100,-17.502956207568
1078142062.5,-17.4926848080745
1081267025,-17.4323200931238
1084391987.5,-17.5136948638956
1087516950,-17.5102106070175
1090641912.5,-17.6087423690833
1093766875,-17.5477643113462
1096891837.5,-17.5663229895824
1100016800,-17.5213164947307
1103141762.5,-17.5374343730893
1106266725,-17.5312468571783
1109391687.5,-17.5533177532799
1112516650,-17.556837584157
1115641612.5,-17.5564544508365
1118766575,-17.6244854860353
1121891537.5,-17.628445247987
1125016500,-17.6301676070247
1128141462.5,-17.6387499177429
1131266425,-17.5700816601957
1134391387.5,-17.5996251981072
1137516350,-17.5688640275334
1140641312.5,-17.5710040770085
1143766275,-17.6199294843668
1146891237.5,-17.6208160249967
1150016200,-17.6174648466887
1153141162.5,-17.5896862972682
1156266125,-17.674942582745
1159391087.5,-17.6806883026865
1162516050,-17.6490275786523
1165641012.5,-17.6673133647953
1168765975,-17.6845855446696
1171890937.5,-17.6380189167574
1175015900,-17.6252528272132
1178140862.5,-17.6361882244109
1181265825,-17.6727559424648
1184390787.5,-17.6433644812664
1187515750,-17.7159518640426
1190640712.5,-17.653329322352
1193765675,-17.6499094553676
1196890637.5,-17.6778422930956
1200015600,-17.6791827449973
1203140562.5,-17.6649260186027
