timestamp,Frequency (Hz),SFU SNR (dB),FSW POWER(dBm),FSW SNR (dB),FSW OFFSET (Hz)
2016-12-16T10:05:01.326441,550000000,8,-45.8735427856,9.26886940002,84257.4140625
2016-12-16T10:05:08.927876,550000000,9,-45.9158096313,9.93350887299,-21681.5390625
2016-12-16T10:05:16.411304,550000000,10,-46.0537414551,10.6478214264,126.893165588
2016-12-16T10:05:23.871730,550000000,11,-46.1579017639,11.4268503189,136.855331421
2016-12-16T10:05:31.184149,550000000,12,-46.1945800781,12.2292747498,111.209358215
2016-12-16T10:05:38.568571,550000000,13,-46.2248764038,13.1243972778,91.1187667847
2016-12-16T10:05:45.929992,550000000,14,-46.2864685059,14.0739402771,77.1273498535
2016-12-16T10:05:53.344416,550000000,15,-46.3023872375,15.0239048004,82.8081741333
2016-12-16T10:06:00.615832,550000000,16,-46.3484802246,16.0550575256,112.614562988
2016-12-16T10:06:07.914250,550000000,17,-46.34034729,17.0075817108,107.159568787
2016-12-16T10:06:15.272670,550000000,18,-46.3874778748,17.954875946,95.1452178955
2016-12-16T10:06:22.730097,550000000,19,-46.3625144958,18.9814376831,99.428276062
2016-12-16T10:06:30.071517,550000000,20,-46.3775978088,19.9582557678,90.0705566406
2016-12-16T10:06:37.682952,570000000,8,-45.7982139587,9.26296043396,127642.382812
2016-12-16T10:06:45.103377,570000000,9,-45.9054412842,9.93811798096,-8637.15722656
2016-12-16T10:06:52.603806,570000000,10,-45.9641494751,10.6176795959,98.0018692017
2016-12-16T10:06:59.934225,570000000,11,-46.0209541321,11.4141712189,113.100708008
2016-12-16T10:07:07.189640,570000000,12,-46.1254348755,12.2095432281,101.095451355
2016-12-16T10:07:14.637066,570000000,13,-46.1623878479,13.0845069885,115.915794373
2016-12-16T10:07:22.206499,570000000,14,-46.1863174438,13.9905261993,84.9241867065
2016-12-16T10:07:29.622923,570000000,15,-46.2359390259,14.9747257233,95.0843048096
2016-12-16T10:07:36.975344,570000000,16,-46.2719535828,15.9301185608,102.973213196
2016-12-16T10:07:44.436770,570000000,17,-46.2616920471,16.890089035,99.8215408325
2016-12-16T10:07:51.953200,570000000,18,-46.3164672852,17.8425254822,96.5769271851
2016-12-16T10:07:59.408627,570000000,19,-46.2672996521,18.8323802948,105.813079834
2016-12-16T10:08:06.838052,570000000,20,-46.2642669678,19.7260971069,105.82976532
2016-12-16T10:08:14.455487,590000000,8,-46.0069732666,9.25630378723,44250.015625
2016-12-16T10:08:21.993918,590000000,9,-46.0957374573,9.9601688385,-15131.6904297
2016-12-16T10:08:29.540350,590000000,10,-46.1483535767,10.6278400421,61.3057937622
2016-12-16T10:08:36.908772,590000000,11,-46.2406082153,11.4068403244,85.3572235107
2016-12-16T10:08:44.270193,590000000,12,-46.2710456848,12.2126684189,87.6514053345
2016-12-16T10:08:51.626613,590000000,13,-46.3600502014,13.0689153671,98.6619796753
2016-12-16T10:08:59.027037,590000000,14,-46.379776001,14.0090274811,98.8488922119
2016-12-16T10:09:06.386458,590000000,15,-46.4325294495,14.9661178589,87.1704177856
2016-12-16T10:09:13.792881,590000000,16,-46.4133033752,15.9359121323,117.327163696
2016-12-16T10:09:21.158302,590000000,17,-46.5091018677,16.8974952698,104.216751099
2016-12-16T10:09:28.544725,590000000,18,-46.4303741455,17.835231781,109.321372986
2016-12-16T10:09:35.987151,590000000,19,-46.4632263184,18.7860565186,95.7077636719
2016-12-16T10:09:43.343571,590000000,20,-46.45652771,19.7278213501,98.3850326538
