timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm)
2016-12-14T18:50:50.919211,1930000000,-65,-79.0087051392
2016-12-14T18:50:57.570591,1930000000,-40,-54.4438171387
2016-12-14T18:51:04.387981,1930000000,-20,-34.297492981
2016-12-14T18:51:11.134367,1950000000,-65,-79.1594085693
2016-12-14T18:51:17.787748,1950000000,-40,-54.634437561
2016-12-14T18:51:24.599137,1950000000,-20,-34.4519348145
2016-12-14T18:51:31.362524,1970000000,-65,-78.9226837158
2016-12-14T18:51:37.997903,1970000000,-40,-54.4053344727
2016-12-14T18:51:44.842295,1970000000,-20,-34.2475166321
2016-12-14T18:51:51.622683,1990000000,-65,-79.0327682495
2016-12-14T18:51:58.242061,1990000000,-40,-54.4772338867
2016-12-14T18:52:05.053451,1990000000,-20,-34.3317108154
2016-12-14T18:52:11.817838,2010000000,-65,-79.3796157837
2016-12-14T18:52:18.453217,2010000000,-40,-54.7864227295
2016-12-14T18:52:25.281608,2010000000,-20,-34.6060295105
2016-12-14T18:52:32.028994,2030000000,-65,-79.247833252
2016-12-14T18:52:38.697375,2030000000,-40,-54.6405601501
2016-12-14T18:52:45.508765,2030000000,-20,-34.4383201599
2016-12-14T18:52:52.296153,2050000000,-65,-79.1961364746
2016-12-14T18:52:58.947534,2050000000,-40,-54.6360092163
2016-12-14T18:53:05.758923,2050000000,-20,-34.3313560486
2016-12-14T18:53:12.523310,2070000000,-65,-79.4750823975
2016-12-14T18:53:19.158690,2070000000,-40,-54.8803291321
2016-12-14T18:53:25.986080,2070000000,-20,-34.6180229187
2016-12-14T18:53:32.766468,2090000000,-65,-79.4294967651
2016-12-14T18:53:39.402847,2090000000,-40,-54.8099212646
2016-12-14T18:53:46.230238,2090000000,-20,-34.5584831238
2016-12-14T18:53:53.005625,2110000000,-65,-79.3443984985
2016-12-14T18:53:59.657006,2110000000,-40,-54.6899223328
2016-12-14T18:54:06.483396,2110000000,-20,-34.4914169312
2016-12-14T18:54:13.263784,2130000000,-65,-79.6907577515
2016-12-14T18:54:19.901164,2130000000,-40,-54.9484710693
2016-12-14T18:54:26.727554,2130000000,-20,-34.7942504883
